Price in Dollars,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days
66670,Motor Yacht,Sunseeker power boats,"Used boat,Unleaded",1994,9.6,2.95,GRP,Spain,160
66670,Deck Boat,Quicksilver power boats,Used boat,2018,7.63,2.55,GRP,Italy,70
66670,"Cabin Boat,Classic,Motor Yacht",Linssen power boats,"Used boat,Diesel",1974,12.2,3.75,Steel,Netherland,240
66670,Trawler,Veha power boats,Used boat,1990,11.3,3.5,Steel,Netherland,86
67235,Cabin Boat,Jeanneau power boats,"New boat from stock,Unleaded",2020,6.9,2.48,GRP,Germany,62
67235,Sport Boat,Invictus power boats,"New boat on order,Unleaded",2020,7.45,2.5,GRP,Switzerland,144
67235,Cabin Boat,Ijlstervlet power boats,"Used boat,Diesel",1979,9.6,3.2,Steel,United Kingdom,158
67235,Motor Yacht,Broom power boats,"Used boat,Diesel",1978,11.44,3.76,GRP,Belgium,117
67235,Pilothouse,Parker power boats,"New boat from stock,Unleaded",2019,6.6,2.5,GRP,Slovenia,64
67235,Sport Boat,Europe Marine power boats,"Used boat,Unleaded",2013,7.25,2.53,GRP,Germany,184
67235,Motor Yacht,Doral power boats,"Used boat,Diesel",1999,8.25,2.59,GRP,Lagos,598
67235,Motor Yacht,Fairline power boats,"Used boat,Diesel",1990,14.5,4.26,GRP,Croatia,403
67235,Cabin Boat,Jeanneau power boats,"Used boat,Unleaded",2015,7.4,2.78,GRP,Germany,269
67042.9,Pilothouse,Parker power boats,"Display Model,Unleaded",2019,7.9,2.9,GRP,Germany,67
68904,Wakeboard/Wakesurf,MasterCraft power boats,"Used boat,Unleaded",2012,6.1,2.59,GRP,Switzerland,712
68904,Sport Boat,Regal power boats,"Used boat,Unleaded",2016,6.75,2.5,GRP,Switzerland,860
66670,Motor Yacht,Vizianello power boats,Used boat,1989,12.5,3.65,GRP,Italy,58
67687,Motor Yacht,Gobbi power boats,"Used boat,Diesel",2000,10.1,3.47,GRP,Croatia,98
67687,Sport Boat,Viper power boats,"Used boat,Unleaded",2012,7.25,2.57,GRP,Germany,188
67687,Motor Yacht,Rinker power boats,Used boat,2006,9.5,2.74,GRP,Croatia,141
67687,Cabin Boat,Hooveld power boats,Used boat,1978,10.8,3.15,Steel,Netherland,83
67687,Motor Yacht,Maxum power boats,"Used boat,Unleaded",2000,10.85,3.38,GRP,Germany,122
67687,Sport Boat,Quicksilver (Brunswick Marine) power boats,"New boat from stock,Unleaded",2020,6.48,2.46,GRP,Germany,77
67687,Fishing Boat,Egon Bredgaard power boats,"Used boat,Diesel",2017,7,2.9,GRP,Germany,181
67687,Cabin Boat,Stingray power boats,New boat from stock,2019,6.3,2.5,GRP,Germany,177
67687,Fishing Boat,Arvor power boats,"Used boat,Diesel",2018,7.3,2.78,GRP,Croatia,95
67845.2,Bowrider,Sea Ray power boats,"New boat from stock,Unleaded",2020,6.55,2.54,GRP,Germany,57
67845.2,Bowrider,Sea Ray power boats,"New boat from stock,Unleaded",2020,6.55,2.54,GRP,Germany,137
67845.2,Bowrider,Sea Ray power boats,"New boat from stock,Unleaded",2020,6.55,2.54,GRP,Germany,112
67845.2,Bowrider,Sea Ray power boats,"New boat from stock,Unleaded",2020,6.55,2.54,GRP,Germany,170
67800,Deck Boat,Cayman power boats,"Used boat,Diesel",2002,9.1,3.4,GRP,Italy,48
67800,Flybridge,Bertram power boats,"Used boat,Diesel",1974,10.73,4.39,GRP,Italy,158
67800,Flybridge,Princess power boats,"Used boat,Diesel",1988,11.6,3.96,GRP,Croatia,173
67800,Center console boat,Chaparral power boats,"Used boat,Unleaded",2006,9.35,3.05,GRP,Italy,76
67800,Flybridge,Nimbus power boats,"Used boat,Diesel",1992,9.9,3.2,PVC,France,192
67800,"Classic,Flybridge",Sanlorenzo power boats,"Used boat,Diesel",1971,14.82,4.22,Wood,Italy,80
67800,Motor Yacht,Diano power boats,Used boat,2003,23.9,6.1,Wood,Italy,677
67800,Cabin Boat,Colombo power boats,Used boat,1978,9.4,3,GRP,Italy,145
70173,Deck Boat,BÃƒÂ©nÃƒÂ©teau power boats,"New boat from stock,Unleaded",2019,8.1,2.5,PVC,Spain,84
70060,Sport Boat,BÃƒÂ©nÃƒÂ©teau power boats,"Used boat,Unleaded",2016,7.62,2.67,PVC,France,31
70060,Motor Yacht,Comar power boats,"Used boat,Diesel",1990,11.99,4.12,GRP,Croatia,53
70060,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2017,7.9,2.81,PVC,Spain,98
70060,Motor Yacht,Intermare power boats,Used boat,2004,9.1,3,GRP,Italy,37
70003.5,Sport Boat,BÃƒÂ©nÃƒÂ©teau power boats,"New boat from stock,Unleaded",2020,7.48,2.53,GRP,Germany,78
69947,Fishing Boat,Jeanneau power boats,"New boat from stock,Unleaded",2019,7.41,2.49,GRP,Germany,86
69947,Pilothouse,BÃƒÂ©nÃƒÂ©teau power boats,"New boat from stock,Unleaded",2020,7.48,2.53,PVC,France,22
72079.2,Sport Boat,Quicksilver (Brunswick Marine) power boats,"New boat from stock,Unleaded",2020,6.2,2.4,GRP,Switzerland,79
69735.7,Bowrider,Regal power boats,"New boat from stock,Unleaded",2021,6.1,2.5,GRP,Switzerland,110
71280,Cabin Boat,Baess power boats,"Used boat,Diesel",1978,8.5,3.3,GRP,Switzerland,397
73440,Motor Yacht,Windy power boats,"Used boat,Unleaded",1988,10.5,3,GRP,Switzerland,204
73923.8,Sport Boat,Viper power boats,"New boat from stock,Unleaded",2020,6.8,2.55,GRP,Switzerland,294
71196.8,Pilothouse,Parker power boats,"New boat from stock,Unleaded",2019,6.45,2.47,GRP,Switzerland,248
71190,Motor Yacht,Storebro power boats,"Used boat,Diesel",1987,12.09,3.8,GRP,Italy,149
71190,Motor Yacht,Storebro power boats,"Used boat,Diesel",1987,12.09,3.8,GRP,Italy,156
71190,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2018,6.55,2.54,GRP,Croatia,46
71190,Motor Yacht,Gobbi power boats,"Used boat,Diesel",2003,10.56,3.3,GRP,Spain,52
71190,Cabin Boat,Bruno Abbate power boats,"Used boat,Diesel",2004,10.54,3.38,GRP,Italy,109
72885,Motor Yacht,Fairline power boats,"Used boat,Unleaded",1993,11.05,3.49,GRP,Germany,164
72885,Pilothouse,Jeanneau power boats,"New boat from stock,Unleaded",2020,7.9,2.81,PVC,France,29
72873.7,Cabin Boat,Saver power boats,"Used boat,Unleaded",2020,7.1,2.53,GRP,Germany,236
72873.7,Sport Boat,Quicksilver (Brunswick Marine) power boats,"New boat from stock,Unleaded",2019,6.48,2.46,GRP,Germany,67
75291.1,Runabout,Rhea power boats,"New boat from stock,Unleaded",2019,6.9,2.5,GRP,Switzerland,90
72743.8,Sport Boat,Sensation power boats,"New boat from stock,Unleaded",2019,7.18,2.6,GRP,Spain,35
74520,Wakeboard/Wakesurf,Malibu power boats,"Used boat,Unleaded",2012,7.01,2.54,GRP,Switzerland,1019
74520,Sport Boat,Crownline power boats,"Used boat,Unleaded",2006,8.74,2.59,GRP,Switzerland,372
75060,Sport Boat,Galia power boats,"New boat from stock,Unleaded",2018,6.94,2.57,GRP,Switzerland,192
75060,Sport Boat,Viper power boats,"New boat from stock,Unleaded",2020,6.95,2.55,GRP,Netherland,166
72412.7,Pilothouse,BÃƒÂ©nÃƒÂ©teau power boats,"New boat from stock,Unleaded",2018,7.48,2.53,PVC,Portugal,32
73450,Motor Yacht,BÃƒÂ©nÃƒÂ©teau power boats,Used boat,2005,9.8,3.11,GRP,Italy,129
73450,"Classic,Motor Yacht",Colombo power boats,"Used boat,Diesel",1991,10.8,3.15,GRP,Italy,331
73450,Trawler,Pedro power boats,Diesel,1979,10.5,3.3,Steel,Germany,112
73450,Sport Boat,MasterCraft power boats,"Used boat,Unleaded",2015,6.09,2.47,GRP,Netherland,271
73450,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1993,12.8,4,GRP,Austria,685
73450,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2015,9.31,2.99,GRP,Spain,744
73438.7,Trawler,Vri-Jon power boats,"Used boat,Diesel",1991,11,3.3,Steel,Germany,47
73450,Motor Yacht,Fairline power boats,"Used boat,Diesel",1994,10.43,3.36,GRP,Italy,113
73450,Motor Yacht,Bayliner power boats,"Used boat,Unleaded",1993,9.59,3.35,GRP,Spain,110
73450,Center console boat,Riva power boats,"Used boat,Diesel",1980,11.68,3.88,GRP,Italy,93
73450,Flybridge,BÃƒÂ©nÃƒÂ©teau power boats,"Used boat,Diesel",2009,8.8,2.9,PVC,Cyprus,70
73450,"Classic,Flybridge",Sanlorenzo power boats,"Used boat,Diesel",1979,15,4.3,Wood,Italy,246
73450,Flybridge,HI-Star power boats,"Used boat,Diesel",1992,16.4,4.99,GRP,Italy,323
73450,Motor Yacht,Bruno Abbate power boats,"Used boat,Diesel",2002,10.54,3.38,GRP,Italy,109
73450,Flybridge,BÃƒÂ©nÃƒÂ©teau power boats,"Used boat,Diesel",2004,10.8,3.48,PVC,France,32
73450,Sport Boat,Formula power boats,"Used boat,Diesel",2008,10.5,3.1,PVC,France,103
74851.2,Center console boat,Rhea power boats,New boat from stock,2020,7.5,2.8,PVC,France,59
74628.6,Center console boat,BÃƒÂ©nÃƒÂ©teau power boats,"New boat from stock,Unleaded",2020,8.1,2,PVC,Spain,94
74580,Pilothouse,BÃƒÂ©nÃƒÂ©teau power boats,"New boat from stock,Unleaded",2018,7.12,2.79,PVC,France,62
74580,Center console boat,Jeanneau power boats,"New boat from stock,Unleaded",2020,7.19,2.52,PVC,France,53
74568.7,Pilothouse,BÃƒÂ©nÃƒÂ©teau power boats,"New boat from stock,Unleaded",2020,8.23,2.79,GRP,Germany,179
74568.7,Sport Boat,Bayliner power boats,"New boat from stock,Unleaded",2020,7.48,2.55,GRP,Germany,244
74467,Sport Boat,Marinello power boats,"New boat from stock,Unleaded",2018,7.65,2.5,GRP,Germany,106
74467,Center console boat,BÃƒÂ©nÃƒÂ©teau power boats,"New boat from stock,Unleaded",2020,8.17,2.53,PVC,France,23
74467,Deck Boat,Quicksilver power boats,"Used boat,Unleaded",2017,7.88,2.55,PVC,France,73
76727,Motor Yacht,Maxum power boats,"Used boat,Diesel",2008,8.13,2.59,GRP,Belgium,222
76632.1,Cabin Boat,Stickl power boats,"New boat from stock,Electric",2019,6.6,2.1,GRP,Germany,85
78300,"Classic,Runabout",Boesch power boats,"Used boat,Unleaded",2006,6,2.2,Wood,Switzerland,316
76275,Sport Boat,Bayliner power boats,"Used boat,Unleaded",2008,9,3,GRP,Croatia,102
76275,Pilothouse,BÃƒÂ©nÃƒÂ©teau power boats,"Used boat,Unleaded",2012,8.91,2.96,PVC,France,119
76275,Classic,Marina Brodersby power boats,"Used boat,Diesel",2005,7.75,2.3,GRP,Germany,52
78732,Sport Boat,Cormate power boats,"Display Model,Unleaded",2017,7.1,2.26,GRP,Switzerland,163
76049,Pilothouse,AluForce power boats,New boat from stock,2020,8.7,2.55,Aluminium,Germany,162
78516,Bowrider,Tahoe power boats,"New boat on order,Unleaded",2021,6.4,2.55,GRP,Switzerland,205
77760,"Flybridge,Pilothouse",Princess power boats,"Used boat,Diesel",1985,10.7,3.68,GRP,Egypt,460
77970,Flybridge,President power boats,"Used boat,Diesel",1991,16.07,4.5,PVC,France,196
77857,Motor Yacht,Hock power boats,"New boat from stockk,Diesel",2015,7.15,2.5,GRP,Germany,72
77857,Motor Yacht,Gobbi power boats,"Used boat,Diesel",2005,10,3,GRP,Croatia,210
77857,Deck Boat,BÃƒÂ©nÃƒÂ©teau power boats,"New boat from stock,Unleaded",2019,7.62,2.53,GRP,Germany,144
77857,Fishing Boat,Wellcraft power boats,"New boat from stock,Unleaded",2019,6.2,2.54,PVC,France,48
77857,Deck Boat,Rhea power boats,"New boat from stock,Unleaded",2019,6.5,2.5,Steel,France,83
77857,Cabin Boat,Nor Star power boats,Used boat,1997,9.46,3.3,GRP,Netherland,148
77631,Sport Boat,Invictus power boats,Used boat,2016,8.1,2.7,PVC,France,57
77631,Sport Boat,Invictus power boats,"Used boat,Unleaded",2016,8.1,2.7,PVC,France,117
77518,Flybridge,Galeon power boats,"Used boat,Diesel",1999,8.86,3,GRP,Belgium,190
77970,Motor Yacht,Piantoni (IT) power boats,"Used boat,Diesel",1988,13.5,4.6,GRP,Italy,160
77970,Motor Yacht,Piantoni (IT) power boats,"Used boat,Diesel",1988,13.5,4.6,GRP,Italy,73
77970,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2007,8.95,2.98,GRP,Croatia,225
77970,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2001,11.21,3.49,GRP,Portugal,173
77970,Motor Yacht,Sea Ray power boats,"Used boat,Diesel",1991,10.77,3.48,GRP,Croatia,57
77970,Sport Boat,Salpa power boats,"Used boat,Diesel",2006,9.4,3.3,GRP,Slovenia,62
77970,Fishing Boat,Albemarle power boats,"Used boat,Diesel",1997,10,3.4,GRP,Italy,52
77970,Deck Boat,Bella power boats,"Used boat,Diesel",2008,7,2,GRP,Croatia,150
77970,Sport Boat,Four Winns power boats,"Used boat,Diesel",2007,9.2,3,GRP,Croatia,85
77970,Flybridge,Alpa power boats,"Used boat,Diesel",1998,10,3.65,GRP,Croatia,107
77970,Motor Yacht,Cigarette power boats,"Used boat,Unleaded",1994,11.6,2.44,GRP,Spain,114
77970,Motor Yacht,Sea Ray power boats,"Used boat,Diesel",1991,17,4.57,GRP,Italy,98
78987,Motor Yacht,Pedro power boats,"Used boat,Diesel",1993,10.3,3.5,Steel,Germany,140
78987,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2007,8.95,2.98,GRP,Germany,268
81562.7,Deck Boat,Uttern power boats,"New boat from stock,Unleaded",2019,6.28,2.45,GRP,Switzerland,113
80946,Pilothouse,Northshore Yachts power boats,"Used boat,Diesel",1980,7.78,2.85,GRP,Switzerland,270
78874,Motor Yacht,Sessa power boats,"Used boat,Unleaded",2010,7.99,2.64,GRP,Spain,90
78817.5,Pilothouse,BÃƒÂ©nÃƒÂ©teau power boats,"Used boat,Unleaded",2014,8.91,2.96,PVC,France,62
78817.5,Cabin Boat,Invictus power boats,"New boat from stock,Unleaded",2020,7.75,2.5,GRP,Switzerland,163
80784,Cabin Boat,Ilver power boats,Used boat,2001,11.82,3.45,GRP,Switzerland,327
78761,Center console boat,Sessa power boats,New boat from stock,2020,7,2.5,GRP,Italy,113
78704.5,Pilothouse,Jeanneau power boats,"New boat from stock,Unleaded",2020,6.71,2.54,PVC,France,25
79100,Trawler,De Boarnstream power boats,Used boat,1996,10.1,3.55,Steel,Netherland,121
79100,Fishing Boat,Mako Boats power boats,"Used boat,Unleaded",2008,8.64,3,GRP,Italy,49
79100,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2006,9.21,3.56,GRP,Italy,89
79100,Flybridge,Fairline power boats,"Used boat,Diesel",1990,12.93,4.18,GRP,Italy,98
79100,Motor Yacht,ManÃƒÂ² power boats,"Used boat,Diesel",2006,11,3.2,GRP,Italy,103
79100,Motor Yacht,Aquador power boats,"Used boat,Diesel",2004,8.25,3.05,GRP,Germany,307
79100,Flybridge,Mochi Craft power boats,"Used boat,Diesel",1992,13.5,4.52,GRP,Italy,89
79100,Cabin Boat,Capelli power boats,"Used boat,Unleaded",2009,9.6,3,GRP,Italy,147
79100,Cabin Boat,Regal power boats,"Used boat,Unleaded",2009,8.5,3.2,GRP,Italy,177
79100,Pontoon Boat,Tornado power boats,Used boat,1989,11,3.86,GRP,Italy,355
79098.9,Runabout,Quicksilver (Brunswick Marine) power boats,"New boat from stock,Unleaded",2020,8.05,3,GRP,Germany,65
80795,Center console boat,Jeanneau power boats,"New boat from stock,Unleaded",2020,7.19,2.52,PVC,France,76
80795,Pilothouse,BÃƒÂ©nÃƒÂ©teau power boats,"New boat from stock,Unleaded",2020,8.23,2.79,PVC,France,81
83326.3,Motor Yacht,Viper power boats,"New boat from stock,Unleaded",2020,7.25,2.57,GRP,Switzerland,230
79500,Flybridge,Bayliner power boats,Used boat,1997,11.15,3.35,GRP,Denmark,192
83052,Pilothouse,Salpa power boats,"New boat from stock,Unleaded",2020,7.6,2.53,GRP,Switzerland,166
80230,Pilothouse,BÃƒÂ©nÃƒÂ©teau power boats,"Used boat,Diesel",2018,8.03,2.78,PVC,France,31
80218.7,Cabin Boat,Quicksilver (Brunswick Marine) power boats,"New boat on order,Unleaded",2020,7.88,2.55,GRP,Germany,42
80117,Pilothouse,BÃƒÂ©nÃƒÂ©teau power boats,"New boat from stock,Unleaded",2019,6.92,2.59,PVC,France,73
80117,Center console boat,BÃƒÂ©nÃƒÂ©teau power boats,"New boat from stock,Unleaded",2020,7.09,2.5,PVC,France,37
82620,Offshore Boat,Off-Course power boats,"Used boat,Diesel",1995,13.8,3.85,GRP,Switzerland,274
82490,Sport Boat,Pro-Line power boats,"Used boat,Unleaded",2007,9.86,3.3,GRP,Italy,49
82490,Pilothouse,Parker power boats,"New boat from stock,Unleaded",2019,7.69,2.5,GRP,Slovenia,155
82490,Motor Yacht,Innovazioni e Progetti power boats,"Used boat,Diesel",2004,11.63,3.7,GRP,Italy,88
82490,Motor Yacht,Innovazioni e Progetti power boats,"Used boat,Diesel",2004,11.63,3.7,GRP,Italy,209
82377,Motor Yacht,Gobbi power boats,"Used boat,Diesel",2001,11.25,3.54,GRP,Belgium,101
82377,Center console boat,BÃƒÂ©nÃƒÂ©teau power boats,"New boat from stock,Unleaded",2020,7.09,2.5,PVC,France,44
82377,Pilothouse,BÃƒÂ©nÃƒÂ©teau power boats,"New boat from stock,Unleaded",2020,8.23,2.79,GRP,Germany,58
85104,Wakeboard/Wakesurf,Moomba power boats,"Used boat,Unleaded",2019,6.22,2.55,GRP,Switzerland,434
85050,Cabin Boat,Quicksilver (Brunswick Marine) power boats,"New boat from stock,Unleaded",2020,7.88,2.55,GRP,Switzerland,271
81925,Sport Boat,Formula power boats,"Used boat,Unleaded",2007,10.49,3.1,GRP,Spain,85
81925,Flybridge,Princess power boats,"Used boat,Diesel",1986,13.58,4.17,GRP,Portugal,112
81925,Cabin Boat,Marine Offshore power boats,Used boat,2017,7.7,2.6,Wood,Netherland,40
81925,Motor Yacht,Ocqueteau power boats,"Used boat,Diesel",2005,9.75,3.4,GRP,Germany,127
81925,Motor Yacht,Rinker power boats,Used boat,2003,11.28,3.66,GRP,Netherland,82
81925,Sport Boat,Sea Ray power boats,Used boat,2005,9.47,2.87,GRP,Netherland,79
84185,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2008,9.6,2.99,PVC,Netherland,182
83896.8,Sport Boat,Sensation power boats,"New boat from stock,Unleaded",2019,8.04,2.6,GRP,Germany,75
83878.8,Pilothouse,BÃƒÂ©nÃƒÂ©teau power boats,"New boat from stock,Unleaded",2020,8.23,2.79,Steel,France,36
86400,Pilothouse,Sea Ray power boats,"Used boat,Unleaded",2000,10.2,3.48,GRP,Switzerland,200
86400,Sport Boat,Windy power boats,Used boat,2000,8.4,2.6,GRP,Switzerland,455
86400,"Flybridge,Motor Yacht",Condor Yachting power boats,"Used boat,Diesel",1988,12,3.55,Steel,Switzerland,422
86400,Motor Yacht,Sunseeker power boats,"Used boat,Unleaded",1999,13.15,3.3,GRP,Switzerland,331
83620,Motor Yacht,Condor Yachting power boats,"Used boat,Diesel",1992,11.65,3.65,Steel,Germany,88
84750,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2003,10.34,3.49,GRP,Croatia,144
84750,Motor Yacht,Fairline power boats,"Used boat,Diesel",1996,11.91,3.66,GRP,Portugal,73
84750,Motor Yacht,Bertram power boats,Used boat,1971,7.5,2.8,GRP,France,68
84750,Motor Yacht,Apreamare power boats,"Used boat,Diesel",2004,9.6,3.3,GRP,Italy,434
84750,"Cabin Boat,Sport Boat",Bella power boats,"Used boat,Diesel",2002,8.17,2.6,GRP,Germany,186
84750,Flybridge,Viking Marin power boats,"Used boat,Diesel",2001,10,3.5,GRP,Germany,253
84750,Hardtop,Fairline power boats,"Used boat,Diesel",1996,11.92,3.54,GRP,Portugal,138
84750,Center console boat,Gagliotta power boats,Used boat,2004,10.3,3.5,GRP,Italy,103
84750,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2003,11.95,3.5,GRP,Portugal,236
84750,Pilothouse,Nimbus power boats,"Used boat,Diesel",2003,8,2,GRP,Croatia,175
84750,Flybridge,Azimut power boats,Used boat,1996,11.44,3.96,GRP,Italy,91
84750,Trawler,Gillissen power boats,"Used boat,Diesel",1978,13.65,4.05,Steel,Netherland,162
84750,Flybridge,Carnevali power boats,Used boat,2000,11.08,3.74,GRP,Croatia,66
84750,Motor Yacht,Italcraft power boats,"Used boat,Diesel",1990,15.12,4.38,GRP,Portugal,113
84750,Flybridge,Carnevali power boats,"Used boat,Diesel",2000,11.08,3.73,GRP,Croatia,77
84750,Motor Yacht,Fairline power boats,"Used boat,Diesel",1991,12.15,4.2,GRP,Spain,124
84750,Pilothouse,Rhea power boats,"Used boat,Diesel",2008,9.25,3.1,PVC,France,158
84750,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2008,9.96,3.45,GRP,Croatia,91
84750,Sport Boat,Cruisers Yachts power boats,"Used boat,Diesel",1998,13.1,4.1,GRP,Spain,81
84750,Flybridge,BÃƒÂ©nÃƒÂ©teau power boats,"Used boat,Diesel",1999,9.98,3.44,GRP,Croatia,52
84750,Sport Boat,Salpa power boats,"Used boat,Diesel",2008,9.4,3.35,GRP,Croatia,36
84750,Flybridge,BÃƒÂ©nÃƒÂ©teau power boats,"Used boat,Diesel",2009,9.95,3.36,PVC,France,105
90180,"Classic,Runabout",Boesch power boats,Used boat,1990,5.9,2.12,Wood,Switzerland,370
87271,Pilothouse,Jeanneau power boats,"New boat on order,Unleaded",2020,8.8,2.99,GRP,Germany,33
90126,Sport Boat,AMT power boats,"New boat from stock,Unleaded",2019,6.8,2.4,GRP,Switzerland,176
87010,Flybridge,Princess power boats,"Used boat,Diesel",1991,14.43,4.29,Plastic,Italy,40
87010,Trawler,De Groot power boats,"Used boat,Diesel",1979,14.7,3.7,Steel,France,82
87010,Sport Boat,Airon Marine power boats,"Used boat,Diesel",2007,11,3.2,PVC,France,91
87010,Flybridge,BÃƒÂ©nÃƒÂ©teau power boats,"Used boat,Diesel",2005,10.8,3.44,PVC,France,60
87010,Flybridge,BÃƒÂ©nÃƒÂ©teau power boats,"Used boat,Diesel",2007,9.95,3.36,GRP,France,93
87010,Flybridge,Uniesse power boats,"Used boat,Diesel",1993,12,4.5,GRP,Italy,81
89157,Trawler,Blauwe Hand power boats,"Used boat,Diesel",1985,11.6,3.62,Steel,Germany,47
89157,Cabin Boat,Jeanneau power boats,"New boat from stock,Unleaded",2020,7.9,2.81,GRP,Germany,62
91800,Pilothouse,Jeanneau power boats,"New boat from stock,Unleaded",2018,7.7,2.54,GRP,Switzerland,183
91800,Cabin Boat,Aquanaut power boats,"Used boat,Diesel",1992,10.2,3.3,Steel,Switzerland,336
88750.2,Pilothouse,Jeanneau power boats,New boat from stock,2020,8.9,2.99,GRP,Germany,90
88705,Deck Boat,Sessa power boats,"New boat from stock,Unleaded",2020,8,2.64,GRP,Italy,145
88705,Deck Boat,BÃƒÂ©nÃƒÂ©teau power boats,"New boat from stock,Unleaded",2020,6.96,2.53,PVC,France,62
88705,Sport Boat,Grginic power boats,"Used boat,Diesel",2018,9,3,GRP,Croatia,201
91260,"Classic,Runabout",Boesch power boats,"Used boat,Unleaded",1969,6.4,2.25,Wood,Switzerland,360
91075.3,Sport Boat,Regal power boats,"New boat from stock,Unleaded",2021,6.4,2.5,GRP,Switzerland,128
88140,Hardtop,Cranchi power boats,"Used boat,Diesel",2008,9.21,3.56,GRP,Croatia,59
89270,"Classic,Flybridge",Camuffo power boats,"Used boat,Diesel",1986,13.5,4.4,Wood,Italy,74
89270,Flybridge,Princess power boats,"Used boat,Diesel",2000,12.67,3.96,PVC,France,145
89270,Bowrider,Draco power boats,"Used boat,Unleaded",2015,8.31,2.49,GRP,Germany,40
89270,Trawler,Blue Ocean power boats,"Used boat,Diesel",1978,10.8,3.9,GRP,Netherland,65
89270,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2004,10.34,3.5,GRP,Italy,229
89270,Bowrider,Jeanneau power boats,"New boat from stock,Unleaded",2020,7.35,2.54,PVC,France,55
89270,Pilothouse,BÃƒÂ©nÃƒÂ©teau power boats,"Used boat,Unleaded",2016,7.98,2.93,PVC,France,29
89270,Motor Yacht,Inter power boats,"Used boat,Diesel",2003,9.3,3.15,GRP,Germany,252
89270,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2015,8.94,2.97,PVC,France,47
89270,Flybridge,Raffaelli power boats,"Used boat,Diesel",1993,11.4,3.64,GRP,Italy,47
90287,Sport Boat,Formula power boats,"Used boat,Unleaded",2007,9.45,2.9,GRP,France,226
90287,Pilothouse,Viknes power boats,Used boat,2004,8.51,2.97,GRP,Netherland,79
90287,Motor Yacht,Wim van der Valk power boats,"Used boat,Diesel",1978,13.5,4.25,Steel,Netherland,189
90287,Sport Boat,Invictus power boats,New boat from stock,2016,8.1,2.7,PVC,France,81
90287,Sport Boat,Invictus power boats,"New boat from stock,Unleaded",2016,8.1,2.7,PVC,France,89
90287,Pilothouse,Jeanneau power boats,"New boat from stock,Unleaded",2020,7.93,2.8,GRP,Germany,73
90287,Pilothouse,Arvor power boats,"Used boat,Diesel",2012,8.6,2.96,GRP,Sweden,221
90174,Sport Boat,Sea Ray power boats,"New boat from stock,Unleaded",2020,7.15,2.54,GRP,Austria,76
90174,Sport Boat,Invictus power boats,"Display Model,Unleaded",2019,7.45,2.5,GRP,Switzerland,206
89948,Sport Boat,Sea Ray power boats,"Used boat,Diesel",1999,10.19,3.4,GRP,Germany,87
92880,Sport Boat,Flipper power boats,"Display Model,Unleaded",2019,6.7,2.48,GRP,Switzerland,180
89891.5,Cabin Boat,Saver power boats,"New boat from stock,Unleaded",2020,7.75,2.55,GRP,Germany,109
89835,Motor Yacht,Salpa power boats,"Used boat,Diesel",2008,9,3,GRP,Croatia,44
90400,Flybridge,Ferretti power boats,"Used boat,Diesel",1990,14.51,4.35,GRP,Spain,193
90400,Center console boat,Cranchi power boats,Used boat,2006,12.2,3.84,GRP,Italy,120
90400,Motor Yacht,Maxum power boats,"Used boat,Diesel",2005,10.67,3.71,GRP,Monaco,113
90400,Sport Boat,Cranchi power boats,"Used boat,Diesel",2006,10.35,3.49,GRP,Italy,81
90400,Hardtop,Bavaria power boats,"Used boat,Unleaded",2007,10.2,3.2,GRP,Italy,148
90400,Motor Yacht,Cruisers Yachts power boats,"Used boat,Diesel",2007,9.5,3,GRP,Netherland,74
90400,Pilothouse,BÃƒÂ©nÃƒÂ©teau power boats,"Used boat,Diesel",2018,7.74,2.95,Steel,France,59
90400,Motor Yacht,Boston Whaler power boats,"Used boat,Unleaded",2007,9.77,3.22,GRP,Italy,29
90400,Cabin Boat,Sessa power boats,"Used boat,Unleaded",2006,10.6,3.53,GRP,Italy,225
90400,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2002,12.19,3.05,GRP,Greece,120
96660,Sport Boat,Windy power boats,"Used boat,Unleaded",2003,9.39,2.95,GRP,Switzerland,363
93225,Trawler,Super van Craft power boats,Used boat,1972,13.85,3.68,Steel,Netherland,146
93225,Classic,Super van Craft power boats,Used boat,1965,14.35,4.15,Steel,Netherland,179
93225,Launch,Jan Van Gent power boats,Used boat,2005,10.35,3.3,GRP,Netherland,82
96120,Trawler,Linssen power boats,"Used boat,Diesel",1990,9.7,3.2,Steel,Switzerland,351
96120,"Classic,Runabout",Boesch power boats,"Used boat,Unleaded",1989,6.8,2.35,Wood,Switzerland,297
